METHODES;Genre;EPITHETE;CIRCONFERENCE EN CM;DIAMETRE EN CM;Altitude en m;groupe;espece;Height;volume_en_m3;BasalArea;WoodDensity;Superficie_ha
P2;Ardisia;japonica;48;15,2866242;2450;Placeau;Ardisia japonica;7,59;137,28;0,02;0,59;2
P2;Ardisia;japonica;39;12,42038217;2450;Placeau;Ardisia japonica;6,46;77,13;0,01;0,59;2
P2;Ardisia;japonica;36;11,46496815;2450;Placeau;Ardisia japonica;6;61,04;0,01;0,59;2
P2;Ardisia;japonica;35;11,14649682;2450;Placeau;Ardisia japonica;5,83;56,06;0,01;0,59;2
P2;Ardisia;japonica;40;12,7388535;2450;Placeau;Ardisia japonica;6,61;83,02;0,01;0,59;2
P2;Ardisia;japonica;40;12,7388535;2450;Placeau;Ardisia japonica;6,61;83,02;0,01;0,59;2
P2;Ardisia;japonica;59;18,78980892;2450;Placeau;Ardisia japonica;8,61;235,28;0,03;0,59;2
P2;Ardisia;japonica;40;12,7388535;2450;Placeau;Ardisia japonica;6,61;83,02;0,01;0,59;2
P2;Ardisia;japonica;35;11,14649682;2450;Placeau;Ardisia japonica;5,83;56,06;0,01;0,59;2
P2;Ardisia;japonica;34;10,82802548;2450;Placeau;Ardisia japonica;5,66;51,36;0,01;0,59;2
P2;Ardisia;japonica;31;9,872611465;2450;Placeau;Ardisia japonica;5,1;38,47;0,01;0,59;2
P2;Ardisia;japonica;45;14,33121019;2450;Placeau;Ardisia japonica;7,25;115,25;0,02;0,59;2
P2;Ardisia;japonica;61;19,42675159;2450;Placeau;Ardisia japonica;8,77;256,17;0,03;0,59;2
P2;Ardisia;japonica;36;11,46496815;2450;Placeau;Ardisia japonica;6;61,04;0,01;0,59;2
P2;Ardisia;japonica;41;13,05732484;2450;Placeau;Ardisia japonica;6,74;88,94;0,01;0,59;2
P2;Ardisia;japonica;32;10,1910828;2450;Placeau;Ardisia japonica;5,29;42,52;0,01;0,59;2
P2;Ardisia;japonica;33;10,50955414;2450;Placeau;Ardisia japonica;5,48;46,85;0,01;0,59;2
P2;Hagenia;abyssinica;98;31,21019108;2450;Placeau;Hagenia abyssinica;10,7;806,69;0,08;0,57;2
P2;Hagenia;abyssinica;128;40,76433121;2450;Placeau;Hagenia abyssinica;11,55;1485,5;0,13;0,57;2
P2;Hagenia;abyssinica;55;17,51592357;2450;Placeau;Hagenia abyssinica;8,28;196,62;0,02;0,57;2
P2;Hagenia;abyssinica;149;47,4522293;2450;Placeau;Hagenia abyssinica;11,97;2086,11;0,18;0,57;2
P2;Hagenia;abyssinica;58;18,47133758;2450;Placeau;Hagenia abyssinica;8,53;225,26;0,03;0,57;2
P2;Hagenia;abyssinica;130;41,40127389;2450;Placeau;Hagenia abyssinica;11,6;1538,91;0,13;0,57;2
P2;Hagenia;abyssinica;59;18,78980892;2450;Placeau;Hagenia abyssinica;8,61;235,28;0,03;0,57;2
P2;Hagenia;abyssinica;83;26,43312102;2450;Placeau;Hagenia abyssinica;10,08;545,11;0,05;0,57;2
P2;Hagenia;abyssinica;58;18,47133758;2450;Placeau;Hagenia abyssinica;8,53;225,26;0,03;0,57;2
P2;Hagenia;abyssinica;69;21,97452229;2450;Placeau;Hagenia abyssinica;9,32;348,32;0,04;0,57;2
P2;Hagenia;abyssinica;35;11,14649682;2450;Placeau;Hagenia abyssinica;5,83;56,06;0,01;0,57;2
P2;Hagenia;abyssinica;79;25,15923567;2450;Placeau;Hagenia abyssinica;9,89;484,53;0,05;0,57;2
P2;Hagenia;abyssinica;36;11,46496815;2450;Placeau;Hagenia abyssinica;6;61,04;0,01;0,57;2
P2;Hagenia;abyssinica;66;21,01910828;2450;Placeau;Hagenia abyssinica;9,12;311,85;0,03;0,57;2
P2;Hagenia;abyssinica;50;15,92356688;2450;Placeau;Hagenia abyssinica;7,8;153,08;0,02;0,57;2
P2;Hagenia;abyssinica;70;22,29299363;2450;Placeau;Hagenia abyssinica;9,38;360,8;0,04;0,57;2
P2;Hagenia;abyssinica;42;13,37579618;2450;Placeau;Hagenia abyssinica;6,88;95,27;0,01;0,57;2
P2;Hagenia;abyssinica;47;14,96815287;2450;Placeau;Hagenia abyssinica;7,48;129,71;0,02;0,57;2
P2;Hagenia;abyssinica;63;20,06369427;2450;Placeau;Hagenia abyssinica;8,92;277,92;0,03;0,57;2
P2;Hagenia;abyssinica;34;10,82802548;2450;Placeau;Hagenia abyssinica;5,66;51,36;0,01;0,57;2
P2;Hagenia;abyssinica;76;24,20382166;2450;Placeau;Hagenia abyssinica;9,73;441,17;0,05;0,57;2
P2;Hagenia;abyssinica;63;20,06369427;2450;Placeau;Hagenia abyssinica;8,92;277,92;0,03;0,57;2
P2;Hagenia;abyssinica;45;14,33121019;2450;Placeau;Hagenia abyssinica;7,25;115,25;0,02;0,57;2
P2;Hagenia;abyssinica;95;30,25477707;2450;Placeau;Hagenia abyssinica;10,59;750,26;0,07;0,57;2
P2;Hagenia;abyssinica;59;18,78980892;2450;Placeau;Hagenia abyssinica;8,61;235,28;0,03;0,57;2
P2;Hagenia;abyssinica;72;22,92993631;2450;Placeau;Hagenia abyssinica;9,5;386,6;0,04;0,57;2
P2;Hagenia;abyssinica;37;11,78343949;2450;Placeau;Hagenia abyssinica;6,16;66,2;0,01;0,57;2
P2;Hagenia;abyssinica;55;17,51592357;2450;Placeau;Hagenia abyssinica;8,28;196,62;0,02;0,57;2
P2;Hagenia;abyssinica;47;14,96815287;2450;Placeau;Hagenia abyssinica;7,48;129,71;0,02;0,57;2
P2;Hagenia;abyssinica;53;16,87898089;2450;Placeau;Hagenia abyssinica;8,09;178,39;0,02;0,57;2
P2;Hagenia;abyssinica;60;19,10828025;2450;Placeau;Hagenia abyssinica;8,69;245,58;0,03;0,57;2
P2;Hagenia;abyssinica;75;23,88535032;2450;Placeau;Hagenia abyssinica;9,67;426,99;0,04;0,57;2
P2;Hagenia;abyssinica;41;13,05732484;2450;Placeau;Hagenia abyssinica;6,74;88,94;0,01;0,57;2
P2;Hagenia;abyssinica;76;24,20382166;2450;Placeau;Hagenia abyssinica;9,73;441,17;0,05;0,57;2
P2;Hagenia;abyssinica;77;24,52229299;2450;Placeau;Hagenia abyssinica;9,78;455,19;0,05;0,57;2
P2;Hagenia;abyssinica;86;27,38853503;2450;Placeau;Hagenia abyssinica;10,22;593,36;0,06;0,57;2
